time_stamp,value,flag,mrr_30s,mhr_30s,sdrr_30s,sdhr_30s,cvrr_30s,rmsd_30s,prr20_30s,prr50_30s,reaction_time
1569294250377,1,31,568.8512807992788,112.40996541082079,132.9710920745661,30.85157146208387,23.375370076996525,158.81444487584525,80.3921568627451,58.8235294117647,652
1569294251006,1,31,569.0435884915865,112.38134870084598,133.068465446781,30.868498026186458,23.384582154684704,154.58497760635836,78.43137254901961,56.86274509803921,629
1569294251734,1,31,574.0436260516827,111.09436060712196,130.29885491794928,30.138855719051957,22.69842377906973,154.58497760635836,78.43137254901961,56.86274509803921,728
1569294252379,1,31,574.0436354417068,111.08979728719727,130.28379032535062,30.118440821881155,22.695799113790667,155.19261306179297,76.47058823529412,56.86274509803921,645
1569294252988,1,31,574.2359431340144,111.06025746590629,130.36032143357136,30.133507095722436,22.701525913216482,156.67015600179434,76.47058823529412,56.86274509803921,609
1569294253629,1,31,582.162109375,109.17006337964038,126.56040461880191,29.28936195864973,21.739718642059195,158.1216239206998,74.0,58.0,641
1569294254324,1,31,593.8053466796875,106.21065473767977,119.53909926178103,26.82284407952777,20.131024405589127,151.652127079696,75.51020408163265,59.183673469387756,695
1569294254939,1,31,592.20533203125,106.42527377361188,118.48275184663707,26.688228638018593,20.0070390180791,148.6963056714861,75.51020408163265,59.183673469387756,615
1569294255580,1,31,594.805361328125,105.91178126668832,117.61748172616565,26.62056381476993,19.77411257079807,147.87051826641817,73.46938775510205,57.142857142857146,641
1569294256317,1,31,595.0053564453125,105.8308134362363,117.25271931360933,26.46493604288057,19.70616197711258,146.90124637195706,73.46938775510205,57.142857142857146,737
1569294256949,1,31,590.2053173828125,107.10683092602105,121.46307596020802,27.610658250743086,20.579800347922987,146.81786605116218,73.46938775510205,57.142857142857146,632
1569294257597,1,31,587.40529296875,107.61361349737061,121.66990299712967,27.565975511619055,20.713109747821512,147.83602630836967,73.46938775510205,57.142857142857146,648
1569294258539,1,31,582.0052392578125,109.0662933956081,125.99106455252517,28.77628993411809,21.647754359254925,149.67444043546024,75.51020408163265,57.142857142857146,942
1569294259628,1,31,587.605302734375,108.25621476164284,129.6247805422283,29.132475426351508,22.05983845602305,149.23067321317217,75.51020408163265,57.142857142857146,1089
1569294260292,1,31,592.0053369140625,107.41223407387984,128.93713892958868,29.088105186558707,21.77972577100359,143.4216299334058,75.51020408163265,57.142857142857146,664
1569294261183,1,31,579.0248209635416,110.3528124581826,132.24723368276017,30.675934945521625,22.83964847356468,148.77635501148123,74.0,56.0,891
1569294262550,1,31,571.5436166616587,111.91094191866289,132.5683605049858,31.088638055901068,23.194793300169668,152.65760656920776,74.50980392156863,54.90196078431372,1367
1569294263374,1,31,563.4013026975235,113.75168290705132,134.1787948935717,31.68437742716077,23.815847469846734,149.4490539312485,73.07692307692308,53.84615384615385,824
1569294264050,1,31,571.1589918870193,111.9608604725955,132.2465519215716,31.049843353431005,23.154069847460484,151.91724801099886,72.54901960784314,52.94117647058823,676
1569294264715,1,31,576.1590388371394,110.86877049600625,130.94277218439916,30.814742905847318,22.726845082337107,147.13741128043802,70.58823529411765,50.98039215686274,665
1569294265465,1,31,566.3512573242188,113.4029084545748,136.08121302638634,32.256185856276225,24.027705644958782,151.5360507993954,70.58823529411765,50.98039215686274,750
1569294266218,1,31,558.4956008623232,115.42381178580648,139.6215774607083,33.14879845382632,24.99958410507282,150.2063919064643,73.07692307692308,50.0,753
1569294267086,-1,31,553.7086905020254,116.51679571718995,140.57014908899114,33.2958359794243,25.387022363969372,149.61725534441925,71.69811320754717,50.943396226415096,868
1569294268135,1,31,559.2503178434552,115.31699958608233,140.8346210311327,33.0723826371633,25.182752076782016,136.2066801257407,71.15384615384616,50.0,1049
1569294268896,1,31,553.7086905020254,116.40003234069314,138.89575007365437,33.132954369652005,25.084625265267764,142.0283855397298,69.81132075471699,49.056603773584904,761
1569294269548,1,31,552.4123851634838,116.55690400861721,137.44330083208297,32.982285414338584,24.88056106696581,147.65594864315932,69.81132075471699,49.056603773584904,652
1569294270284,1,31,553.3383201316551,116.44498817313936,138.4835884906872,33.090279339087665,25.026928996664818,146.63009521470863,69.81132075471699,49.056603773584904,736
1569294270982,1,31,554.1559367629717,116.47323245328005,140.3364896151241,33.4623452414565,25.324368161583013,146.88561969936086,69.23076923076923,48.07692307692308,698
1569294271645,1,31,554.5332952535377,116.41794280239397,140.57106172261632,33.50050725791922,25.349435809502825,146.94452534945913,69.23076923076923,50.0,663
1569294272420,1,31,547.9679000289352,118.02728624858904,142.4909889272867,33.86807670360687,26.003528476715978,146.79727062371714,69.81132075471699,50.943396226415096,775
